threshold,tp,fp,fn,tn,precision,recall,specificity,f1,youden_j,expected_cost
0.1,2273,4246,22,7229,0.34867310937260315,0.9904139433551198,0.6299782135076253,0.5157703653278874,0.6203921568627451,4356.0
0.2,2095,1541,200,9934,0.5761826182618262,0.9128540305010894,0.8657080610021787,0.7064575956836959,0.778562091503268,2541.0
0.3,1716,799,579,10676,0.6823061630218688,0.7477124183006536,0.9303703703703704,0.7135135135135136,0.6780827886710239,3694.0
0.4,1232,437,1063,11038,0.738166566806471,0.5368191721132898,0.961917211328976,0.6215943491422805,0.4987363834422658,5752.0
0.5,912,235,1383,11240,0.7951176983435048,0.39738562091503266,0.979520697167756,0.5299244625217896,0.37690631808278874,7150.0
0.6,534,120,1761,11355,0.8165137614678899,0.2326797385620915,0.9895424836601308,0.36215666327568663,0.22222222222222232,8925.0
0.7,365,61,1930,11414,0.8568075117370892,0.15904139433551198,0.9946840958605665,0.2682837192208747,0.1537254901960785,9711.0
0.8,217,31,2078,11444,0.875,0.09455337690631808,0.9972984749455338,0.17066456940621316,0.09185185185185185,10421.0
0.9,98,10,2197,11465,0.9074074074074074,0.042701525054466234,0.9991285403050109,0.08156471077819392,0.0418300653594772,10995.0
